Countries,LE at birth All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,
Djibouti,65.8,64.1,67.8,3.7,6.0,58.0,57.2,58.9,1.7,5.3,17.8,16.6,19.0,2.4,1.5,13.6,12.9,14.4,1.5,1.1,
Guyana,65.7,62.5,69.4,6.9,2.7,57.2,55.1,59.7,4.6,2.2,16.6,15.1,18.1,3.0,0.7,12.5,11.5,13.6,2.1,0.4,
Malawi,65.6,62.3,68.9,6.6,20.9,57.1,55.1,59.0,3.9,18.0,17.2,15.1,19.0,3.9,3.2,12.8,11.3,14.0,2.7,2.5,
Pakistan,65.6,64.6,66.7,2.1,5.5,56.9,56.9,56.8,-0.1,4.6,17.3,16.8,17.8,1.0,1.6,12.6,12.5,12.6,0.1,1.1,
Gambia,65.5,63.4,67.7,4.3,6.3,57.0,56.4,57.7,1.3,5.3,16.9,15.8,18.0,2.2,0.7,12.6,12.1,13.2,1.1,0.4,
Vanuatu,65.3,62.7,68.3,5.6,1.4,57.8,56.4,59.4,3.0,1.0,15.7,14.8,16.7,1.9,0.7,11.9,11.5,12.4,0.9,0.4,
Madagascar,65.3,64.1,66.6,2.5,6.5,57.3,56.9,57.7,0.8,6.0,16.8,16.1,17.3,1.2,1.4,12.6,12.3,12.9,0.6,1.1,
Papua New Guinea,65.3,63.4,67.4,4.0,2.0,57.1,56.2,58.1,1.9,1.8,16.5,15.4,17.6,2.2,0.1,12.3,11.7,12.8,1.1,0.1,
South Africa,65.3,62.2,68.3,6.1,9.5,56.2,54.6,57.7,3.1,7.7,19.1,17.3,20.5,3.2,2.9,13.9,12.7,14.8,2.1,2.0,
Solomon Islands,65.2,62.9,67.9,5.0,2.7,57.8,56.5,59.1,2.6,2.1,15.5,14.7,16.3,1.6,1.1,11.8,11.4,12.2,0.8,0.7,
"Congo, Republic of",64.7,63.8,65.6,1.8,12.6,56.2,56.4,56.1,-0.3,10.8,16.4,15.7,17.1,1.4,2.5,12.2,11.9,12.5,0.6,1.9,
Namibia,64.6,60.6,68.4,7.8,11.3,56.1,53.4,58.6,5.2,9.5,17.2,14.7,19.3,4.6,2.6,12.7,10.8,14.2,3.4,1.9,
Togo,64.3,61.5,67.2,5.7,8.4,56.2,54.7,57.8,3.1,7.3,17.0,15.4,18.6,3.2,1.3,12.8,11.8,13.8,2.0,1.1,
Haiti,64.1,63.3,64.8,1.5,7.1,55.8,55.9,55.8,-0.1,5.8,16.8,16.5,17.0,0.5,1.0,12.8,12.7,12.9,0.2,0.7,
